"Time (sec), t","Pwr Demand (kW), P_dem","Velocity (m/s), v_dc",
0,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
13,0,0,
14,0,0,
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,
20,0,0,
21,2.732569852,1.34112,
22,5.031900198,2.637536,
23,7.850729441,3.844544,
24,10.18083447,5.14096,
25,11.85099315,6.392672,
26,3.118460668,7.554976,
27,5.233909474,7.733792,
28,15.06946705,8.091424,
29,7.562700912,9.253728,
30,6.042888648,9.700768,
31,2.308332474,10.013696,
32,-0.985403702,10.0584,
33,-2.279493457,9.879584,
34,-2.235086893,9.61136,
35,-1.574836279,9.343136,
36,-2.149955311,9.119616,
37,-14.9069688,8.851392,
38,-9.355090696,7.59968,
39,0.967889258,6.660896,
40,2.281942508,6.660896,
41,2.332153454,6.795008,
42,3.293931594,6.92912,
43,6.230147174,7.15264,
44,11.2020436,7.644384,
45,12.55520157,8.538464,
46,11.44148554,9.432544,
47,3.016108632,10.147808,
48,0.356392825,10.237216,
49,1.014161734,10.147808,
50,-6.96599875,10.103104,
51,-12.86467522,9.521952,
52,-9.296081126,8.49376,
53,-5.386776293,7.644384,
54,1.039920078,7.063232,
55,9.86494884,7.063232,
56,12.12691366,7.912608,
57,11.86796857,8.851392,
58,11.72694323,9.656064,
59,8.555204224,10.371328,
60,4.691144981,10.818368,
61,4.060438263,10.997184,
62,2.657468983,11.131296,
63,-1.002626886,11.176,
64,1.167757283,10.997184,
65,3.319963226,10.95248,
66,2.628508722,11.041888,
67,1.184866374,11.086592,
68,1.176288799,11.041888,
69,1.890927528,10.997184,
70,5.506778754,10.997184,
71,5.638090281,11.220704,
72,2.7603023,11.444224,
73,-0.246846271,11.488928,
74,-1.749442397,11.354816,
75,2.657468983,11.131296,
76,4.876806001,11.176,
77,6.464125345,11.354816,
78,2.055784044,11.62304,
79,-0.237194782,11.62304,
80,5.04170361,11.488928,
81,6.671513024,11.667744,
82,8.420978174,11.935968,
83,11.13561693,12.2936,
84,8.272857706,12.785344,
85,6.78957375,13.098272,
86,5.180733739,13.321792,
87,5.249699375,13.455904,
88,5.319170172,13.590016,
89,2.681672319,13.724128,
90,0.876686423,13.724128,
91,1.755986171,13.63472,
92,1.744474977,13.590016,
93,3.514488636,13.545312,
94,6.212843971,13.590016,
95,-0.925436244,13.768832,
96,-1.830220218,13.590016,
97,-0.949160049,13.366496,
98,5.112268227,13.18768,
99,6.932804739,13.321792,
100,6.186690882,13.545312,
101,4.486658215,13.724128,
102,3.619346323,13.813536,
103,1.814398994,13.85824,
104,-1.830887962,13.813536,
105,-2.723894016,13.590016,
106,3.428662739,13.321792,
107,5.203666466,13.366496,
108,7.048388662,13.500608,
109,7.194137059,13.724128,
110,8.25850818,13.947648,
111,6.585024324,14.215872,
112,4.800296564,14.394688,
113,1.033249525,14.484096,
114,-1.825824299,14.394688,
115,-15,14.171168,
116,-15,12.785344,
117,-15,11.310112,
118,-15,9.83488,
119,-15,8.359648,
120,-13.93201913,6.884416,
121,-10.98071366,5.409184,
122,-8.004836603,3.933952,
123,-5.011089305,2.45872,
124,-1.294761727,0.983488,
125,0,0,
126,0,0,
127,0,0,
128,0,0,
129,0,0,
130,0,0,
131,0,0,
132,0,0,
133,0,0,
134,0,0,
135,0,0,
136,0,0,
137,0,0,
138,0,0,
139,0,0,
140,0,0,
141,0,0,
142,0,0,
143,0,0,
144,0,0,
145,0,0,
146,0,0,
147,0,0,
148,0,0,
149,0,0,
150,0,0,
151,0,0,
152,0,0,
153,0,0,
154,0,0,
155,0,0,
156,0,0,
157,0,0,
158,0,0,
159,0,0,
160,0,0,
161,0,0,
162,0,0,
163,0,0,
164,3.394063248,1.475232,
165,6.794827836,2.950464,
166,10.20899511,4.425696,
167,13.6432664,5.900928,
168,17.10434305,7.37616,
169,15.3603517,8.851392,
170,15.33390896,9.924288,
171,12.57205476,10.863072,
172,6.5823443,11.533632,
173,-3.327987056,11.801856,
174,-2.513367649,11.488928,
175,-1.002729164,11.220704,
176,4.080728645,11.041888,
177,3.406947779,11.176,
178,3.442066626,11.265408,
179,4.970749392,11.354816,
180,12.64991904,11.533632,
181,-3.39258646,12.159488,
182,-15,11.84656,
183,-7.348858364,10.72896,
184,-15,10.147808,
185,-8.341917039,8.672576,
186,-1.40166141,7.912608,
187,5.707442656,7.689088,
188,3.895604846,8.091424,
189,8.934911177,8.314944,
190,14.34456799,8.9408,
191,16.63914306,9.924288,
192,22.04595697,10.95248,
193,27.89872587,12.204192,
194,29.55100514,13.63472,
195,29.70314721,14.97584,
196,15.28202035,16.182848,
197,25.70874467,16.674592,
198,18.03188102,17.568672,
199,23.46534695,18.10512,
200,22.09005395,18.820384,
201,25.54421003,19.44624,
202,17.40178282,20.161504,
203,16.51399334,20.56384,
204,15.53338819,20.921472,
205,6.088615801,21.2344,
206,3.29588518,21.2344,
207,4.644621649,21.144992,
208,3.233393465,21.100288,
209,5.955506169,21.01088,
210,5.955506169,21.01088,
211,5.955506169,21.01088,
212,5.955506169,21.01088,
213,8.718839625,21.01088,
214,8.783578109,21.100288,
215,13.02894544,21.189696,
216,14.6454418,21.413216,
217,14.91607639,21.68144,
218,12.30316527,21.949664,
219,13.91922949,22.12848,
220,15.60699528,22.352,
221,12.91420851,22.620224,
222,14.57996831,22.79904,
223,17.83284655,23.02256,
224,22.79659562,23.335488,
225,21.84365215,23.782528,
226,16.0140121,24.184864,
227,13.04407313,24.408384,
228,9.943985303,24.542496,
229,6.747195891,24.5872,
230,3.488367994,24.542496,
231,8.2288176,24.408384,
232,11.43898796,24.408384,
233,13.12911822,24.497792,
234,14.8772365,24.631904,
235,11.79846213,24.81072,
236,15.15432304,24.900128,
237,12.04276039,25.078944,
238,13.78008841,25.168352,
239,10.5853379,25.302464,
240,8.957186249,25.347168,
241,5.623547803,25.347168,
242,8.885836078,25.25776,
243,8.885836078,25.25776,
244,8.885836078,25.25776,
245,8.885836078,25.25776,
246,8.885836078,25.25776,
247,7.224896287,25.25776,
248,3.876318901,25.213056,
249,3.796855768,25.078944,
250,-2.843112956,24.944832,
251,0.299182654,24.631904,
252,1.808476888,24.408384,
253,4.908571683,24.229568,
254,3.266694185,24.14016,
255,6.351877622,24.006048,
256,12.62492676,23.961344,
257,9.580598381,24.095456,
258,9.616481702,24.14016,
259,8.062079124,24.184864,
260,3.290919337,24.184864,
261,1.636978338,24.050752,
262,1.553642791,23.871936,
263,1.471900484,23.69312,
264,-0.154551367,23.514304,
265,12.01488963,23.290784,
266,1.352248241,23.424896,
267,5.860394471,23.24608,
268,4.306652516,23.201376,
269,4.256763861,23.111968,
270,8.74912274,23.02256,
271,10.29953898,23.067264,
